Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	CD	CD	CD	CD	CD	Control	Control	Control	Control	Control
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;__	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;__;__	1.0	1.0	1.0	1.0	9.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__	1.0	1.0	1.0	1.0	666.0	1.0	1.0	1.0	1.0	14.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	1.0	1.75	15.5	173.25	4052.0	1.0	1.0	1.0	13.5	876.0
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter	1.0	1.0	1.0	1.0	12.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales;f__Gastranaerophilales;g__Gastranaerophilales	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	27.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;__	1.0	1.0	1.0	1.0	39.0	1.0	1.0	1.0	1.0	12.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__uncultured	1.0	1.0	1.0	1.0	49.0	1.0	1.0	1.0	1.0	6.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lactonifactor	1.0	1.0	1.0	1.0	30.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Anaerococcus	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	3.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group	1.0	6.75	36.5	293.75	884.0	1.0	1.0	1.0	13.75	684.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;__;__	1.0	1.0	1.0	6.25	40.0	1.0	1.0	5.5	8.75	21.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Candidatus_Soleaferrea	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	3.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group	1.0	1.0	1.0	1.0	131.0	1.0	1.0	1.0	7.0	32.0
d__Bacteria;p__Firmicutes;__;__;__;__	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	5.25	40.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group	1.0	1.0	7.0	166.0	595.0	1.0	89.0	153.0	327.75	931.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Megamonas	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	42.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenisphaera	1.0	1.0	1.0	1.0	1642.0	1.0	1.0	1.0	1.0	8.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352	1.0	1.0	1.0	1.0	48.0	1.0	1.0	1.0	1.0	1191.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__uncultured	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	27.75	75.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;__	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	1.0	1.0	6.0	16.0	134.0	1.0	7.0	23.0	72.0	119.0
